2025-08-06 16:39:06 | INFO | video_processing.utils.logger:setup_logger:55 | 日志系统初始化完成
2025-08-06 16:39:06 | INFO | video_processing.utils.logger:setup_logger:55 | 日志系统初始化完成
2025-08-06 16:39:06 | INFO | video_processing.filters.resolution_filter:__init__:26 | 分辨率过滤器初始化: 最小分辨率 1920x1080
2025-08-06 16:39:06 | INFO | video_processing.filters.face_filter:_load_face_cascade:51 | 成功加载面部检测器: /home/Valerian_Ma/miniconda3/envs/py39/lib/python3.9/site-packages/cv2/data/haarcascade_frontalface_default.xml
2025-08-06 16:39:06 | INFO | video_processing.filters.face_filter:__init__:35 | 面部过滤器初始化: 最小面部尺寸 256x256
2025-08-06 16:39:06 | WARNING | video_processing.models.facexformer_age_filter:_load_model:69 | FaceXFormer模型文件不存在: models/facexformer
2025-08-06 16:39:06 | INFO | video_processing.models.facexformer_age_filter:__init__:47 | FaceXFormer年龄过滤器初始化: 最小年龄 22, 设备 cuda
2025-08-06 16:39:06 | INFO | video_processing.pipeline:_init_filters:89 | 所有过滤器初始化完成
2025-08-06 16:39:06 | INFO | video_processing.pipeline:__init__:56 | 视频处理管道初始化完成
2025-08-06 16:39:06 | INFO | video_processing.pipeline:process_single_video:111 | 开始处理视频: rawdata/test/test_video.mp4
2025-08-06 16:39:06 | INFO | video_processing.pipeline:process_single_video:114 | 步骤1: 分辨率过滤
2025-08-06 16:39:06 | INFO | video_processing.filters.resolution_filter:check_resolution:73 | ✓ 视频 rawdata/test/test_video.mp4 分辨率合格: 1920x1080
2025-08-06 16:39:06 | INFO | video_processing.pipeline:process_single_video:126 | 步骤2: 面部检测和尺寸验证
2025-08-06 16:39:07 | WARNING | video_processing.filters.face_filter:analyze_video_faces:178 | ✗ 视频 rawdata/test/test_video.mp4 面部检测未通过: 无有效面部区域
2025-08-06 16:39:07 | WARNING | video_processing.pipeline:process_single_video:131 | 视频 rawdata/test/test_video.mp4 面部检测未通过
2025-08-06 16:39:07 | INFO | video_processing.utils.logger:setup_logger:55 | 日志系统初始化完成
2025-08-06 16:39:07 | INFO | video_processing.filters.resolution_filter:__init__:26 | 分辨率过滤器初始化: 最小分辨率 1920x1080
2025-08-06 16:39:07 | INFO | video_processing.filters.face_filter:_load_face_cascade:51 | 成功加载面部检测器: /home/Valerian_Ma/miniconda3/envs/py39/lib/python3.9/site-packages/cv2/data/haarcascade_frontalface_default.xml
2025-08-06 16:39:07 | INFO | video_processing.filters.face_filter:__init__:35 | 面部过滤器初始化: 最小面部尺寸 256x256
